Gypsy Rose Rock And Blues Bar,53.3462348,-6.261398
caf̩ Ballsbridge,53.3362221,-6.2366936
O'Donoghues,53.343437,-6.2597401
Robert Reade Bar and Cafe,53.3513605,-6.2513919
The Bridge,53.3292976,-6.2319611
D'arcy McGees,53.2934407,-6.3236249
Olive Green,53.3362743,-6.2485692
The Gotham Cafe,53.3411842,-6.2596097
Ruin Bar,53.3459878,-6.2553324
The Cherry Tree Pub,53.3164631,-6.3327284
Angler's Rest,53.3591428,-6.3587854
